0.000000e+00    9.999999e-01    5.000253e-01
1.000000e-02    9.999939e-01    5.000410e-01
5.000000e-02    1.000092e+00    5.014458e-01
1.000000e-01    9.989430e-01    5.034245e-01
2.000000e-01    1.000024e+00    5.199962e-01
3.000000e-01    1.000011e+00    5.450300e-01
4.000000e-01    1.000003e+00    5.800521e-01
5.000000e-01    1.000021e+00    6.249946e-01
6.000000e-01    1.000018e+00    6.800966e-01
7.000000e-01    9.999791e-01    7.446945e-01
8.000000e-01    1.000009e+00    8.201686e-01
9.000000e-01    9.999780e-01    9.046291e-01
9.999000e-01    1.000002e+00    9.998978e-01
