1.000000e-05 1.587672e+00 2.366924e-01 5.177551e-02 2.008934e-02
2.000000e-02 1.587393e+00 2.363758e-01 5.171064e-02 2.002908e-02
5.000000e-02 1.588087e+00 2.364902e-01 5.226498e-02 2.019736e-02
1.100000e-01 1.587203e+00 2.364254e-01 5.478956e-02 2.096505e-02
2.000000e-01 1.587572e+00 2.366566e-01 6.214461e-02 2.320372e-02
3.500000e-01 1.587547e+00 2.370130e-01 8.387942e-02 2.983614e-02
5.000000e-01 1.587546e+00 2.374457e-01 1.174704e-01 4.012409e-02
7.000000e-01 1.587542e+00 2.380969e-01 1.806991e-01 5.958842e-02
9.000000e-01 1.587541e+00 2.387824e-01 2.650034e-01 8.568725e-02
1.000000e+00 1.587563e+00 2.391445e-01 3.150790e-01 1.012590e-01
